Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sample_134716_R1	9.0	65.00000000000007
Sample_134717_R1	23.3	60.700000000000045
Sample_134718_R1	19.7	59.40000000000005
Sample_134719_R1	20.0	63.200000000000074
Sample_134720_R1	35.5	45.40000000000005
Sample_134721_R1	14.099999999999998	64.30000000000007
Sample_134722_R1	31.3	43.90000000000008
Sample_134723_R1	16.900000000000002	65.50000000000001
Sample_134767_R1	6.3	70.20000000000007
Sample_134768_R1	20.9	58.90000000000004
Sample_134771_R1	16.8	60.500000000000114
Sample_134772_R1	20.1	59.30000000000005
Sample_134777_R1	19.2	58.40000000000012
Sample_134778_R1	21.099999999999998	59.90000000000005
Sample_134789_R1	7.9	70.70000000000007
Sample_134790_R1	28.000000000000004	52.000000000000014
