Sample	Unique Reads	Duplicate Reads
Sample_134716_R1	335.0	665.0
Sample_134717_R1	210.0	790.0
Sample_134718_R1	288.0	712.0
Sample_134719_R1	213.0	787.0
Sample_134720_R1	258.0	742.0
Sample_134721_R1	276.0	724.0
Sample_134722_R1	320.0	680.0
Sample_134723_R1	225.0	775.0
Sample_134767_R1	326.0	674.0
Sample_134768_R1	257.0	743.0
Sample_134771_R1	304.0	696.0
Sample_134772_R1	257.0	743.0
Sample_134777_R1	299.0	701.0
Sample_134778_R1	250.0	750.0
Sample_134789_R1	295.0	705.0
Sample_134790_R1	248.0	752.0
