Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
Sample_134716_R1										35.8	16.7	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134717_R1										13.8	19.1	38.2	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134718_R1										28.799999999999997	7.7	19.7	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134719_R1										17.9	20.1	32.2	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134720_R1										17.599999999999998	6.800000000000001	35.5	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134721_R1										27.700000000000003	19.900000000000002	14.099999999999998	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134722_R1										18.9	6.1	31.3	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134723_R1										32.1	21.5	16.900000000000002	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134767_R1										43.6	11.700000000000001	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134768_R1										23.7	6.6000000000000005	35.4	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134771_R1										31.5	7.1	16.8	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134772_R1										27.700000000000003	5.1	33.900000000000006	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134777_R1										31.4	5.800000000000001	19.2	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134778_R1										30.7	0.0	33.1	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134789_R1										40.300000000000004	15.7	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
Sample_134790_R1										29.5	0.0	38.2	0.0	0.0	0.0	0.0																																																																																																																																							
