Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Sample_134716_R1	66.5	50.0	258.248	45.45454545454545	1000.0
Sample_134717_R1	79.1	51.0	254.762	36.36363636363637	1000.0
Sample_134718_R1	71.2	51.0	255.129	36.36363636363637	1000.0
Sample_134719_R1	78.7	52.0	255.18	36.36363636363637	1000.0
Sample_134720_R1	74.2	49.0	254.438	36.36363636363637	1000.0
Sample_134721_R1	72.4	51.0	258.746	45.45454545454545	1000.0
Sample_134722_R1	68.1	49.0	257.903	45.45454545454545	1000.0
Sample_134723_R1	77.6	51.0	254.461	36.36363636363637	1000.0
Sample_134767_R1	67.4	51.0	256.199	36.36363636363637	1000.0
Sample_134768_R1	74.3	51.0	255.922	36.36363636363637	1000.0
Sample_134771_R1	69.6	49.0	256.631	36.36363636363637	1000.0
Sample_134772_R1	74.3	51.0	255.972	36.36363636363637	1000.0
Sample_134777_R1	70.1	49.0	256.674	36.36363636363637	1000.0
Sample_134778_R1	75.1	51.0	256.12	36.36363636363637	1000.0
Sample_134789_R1	70.5	50.0	256.184	36.36363636363637	1000.0
Sample_134790_R1	75.2	52.0	255.41	36.36363636363637	1000.0
