sample-id,absolute-filepath,direction
SC56.50,/data/tourmaline/00-data/fastq/Sample_134716_R1.fastq.gz,forward
SC56.50,/data/tourmaline/00-data/fastq/Sample_134716_R2.fastq.gz,reverse
SC56.22,/data/tourmaline/00-data/fastq/Sample_134717_R1.fastq.gz,forward
SC56.22,/data/tourmaline/00-data/fastq/Sample_134717_R2.fastq.gz,reverse
SC54.50,/data/tourmaline/00-data/fastq/Sample_134718_R1.fastq.gz,forward
SC54.50,/data/tourmaline/00-data/fastq/Sample_134718_R2.fastq.gz,reverse
SC54.22,/data/tourmaline/00-data/fastq/Sample_134719_R1.fastq.gz,forward
SC54.22,/data/tourmaline/00-data/fastq/Sample_134719_R2.fastq.gz,reverse
SC53.50,/data/tourmaline/00-data/fastq/Sample_134720_R1.fastq.gz,forward
SC53.50,/data/tourmaline/00-data/fastq/Sample_134720_R2.fastq.gz,reverse
SC53.22,/data/tourmaline/00-data/fastq/Sample_134721_R1.fastq.gz,forward
SC53.22,/data/tourmaline/00-data/fastq/Sample_134721_R2.fastq.gz,reverse
SC51.50,/data/tourmaline/00-data/fastq/Sample_134722_R1.fastq.gz,forward
SC51.50,/data/tourmaline/00-data/fastq/Sample_134722_R2.fastq.gz,reverse
SC51.22,/data/tourmaline/00-data/fastq/Sample_134723_R1.fastq.gz,forward
SC51.22,/data/tourmaline/00-data/fastq/Sample_134723_R2.fastq.gz,reverse
SC18.50,/data/tourmaline/00-data/fastq/Sample_134767_R1.fastq.gz,forward
SC18.50,/data/tourmaline/00-data/fastq/Sample_134767_R2.fastq.gz,reverse
SC18.22,/data/tourmaline/00-data/fastq/Sample_134768_R1.fastq.gz,forward
SC18.22,/data/tourmaline/00-data/fastq/Sample_134768_R2.fastq.gz,reverse
SC16.50,/data/tourmaline/00-data/fastq/Sample_134771_R1.fastq.gz,forward
SC16.50,/data/tourmaline/00-data/fastq/Sample_134771_R2.fastq.gz,reverse
SC16.22,/data/tourmaline/00-data/fastq/Sample_134772_R1.fastq.gz,forward
SC16.22,/data/tourmaline/00-data/fastq/Sample_134772_R2.fastq.gz,reverse
SC13.50,/data/tourmaline/00-data/fastq/Sample_134777_R1.fastq.gz,forward
SC13.50,/data/tourmaline/00-data/fastq/Sample_134777_R2.fastq.gz,reverse
SC13.22,/data/tourmaline/00-data/fastq/Sample_134778_R1.fastq.gz,forward
SC13.22,/data/tourmaline/00-data/fastq/Sample_134778_R2.fastq.gz,reverse
SC07.50,/data/tourmaline/00-data/fastq/Sample_134789_R1.fastq.gz,forward
SC07.50,/data/tourmaline/00-data/fastq/Sample_134789_R2.fastq.gz,reverse
SC07.22,/data/tourmaline/00-data/fastq/Sample_134790_R1.fastq.gz,forward
SC07.22,/data/tourmaline/00-data/fastq/Sample_134790_R2.fastq.gz,reverse
