sample-id,absolute-filepath,direction
SC56_50,/data/tourmaline/00-data/fastq/Sample_134716_R1.fastq.gz,forward
SC56_22,/data/tourmaline/00-data/fastq/Sample_134717_R1.fastq.gz,forward
SC54_50,/data/tourmaline/00-data/fastq/Sample_134718_R1.fastq.gz,forward
SC54_22,/data/tourmaline/00-data/fastq/Sample_134719_R1.fastq.gz,forward
SC53_50,/data/tourmaline/00-data/fastq/Sample_134720_R1.fastq.gz,forward
SC53_22,/data/tourmaline/00-data/fastq/Sample_134721_R1.fastq.gz,forward
SC51_50,/data/tourmaline/00-data/fastq/Sample_134722_R1.fastq.gz,forward
SC51_22,/data/tourmaline/00-data/fastq/Sample_134723_R1.fastq.gz,forward
SC18_50,/data/tourmaline/00-data/fastq/Sample_134767_R1.fastq.gz,forward
SC18_22,/data/tourmaline/00-data/fastq/Sample_134768_R1.fastq.gz,forward
SC16_50,/data/tourmaline/00-data/fastq/Sample_134771_R1.fastq.gz,forward
SC16_22,/data/tourmaline/00-data/fastq/Sample_134772_R1.fastq.gz,forward
SC13_50,/data/tourmaline/00-data/fastq/Sample_134777_R1.fastq.gz,forward
SC13_22,/data/tourmaline/00-data/fastq/Sample_134778_R1.fastq.gz,forward
SC07_50,/data/tourmaline/00-data/fastq/Sample_134789_R1.fastq.gz,forward
SC07_22,/data/tourmaline/00-data/fastq/Sample_134790_R1.fastq.gz,forward
