sample_name	sample_name_water	description	control_status	sample_pairing	sample_pairs	esp_storage_carousel	sample_station	auv_latitude_deg	auv_longitude_deg	archive_bottom	lg_bottom	puck_no_7-0xxx	spr	sample_type	collection_date	modis_cyanoindex	modis_cyanoindex_date	collection_modis_same_date	site	region	time_started_filtering	filtration_duration_hhmmss	auv_avg_sample_depth_m	auv_range_sample_depth_m	large_depth_range	auv_sample_volume	spr_file	boat_sample_lat	boat_sample_lon	boat_sample_collection_date	boat_sample_time	boat_sample_depth_m	boat_sample_volume	auv_chlorophyll_mean_ug_per_l	auv_oxygen_mean_ug_per_l	auv_par_mean_umol_s_m2	auv_temp_mean_degc	lab_spr_mclr_ug_per_l	mc_elisa_ug_per_l	time_of_day	qpcr_16s_total_cyano_cpr	total_cyanobacteria_qpcr_gc_per_ml	qpcr_toxin_mcye_cpr	mcye_qpcr_gc_per_ml	sample_potency	deployment_notes	sample_number_16s	sample_number_18s	sample_number_shotgun	filter_size	concentration_ng_per_ul	volume_ul	sequencing_notes	sequencing_number_no_data
SC56_22	SC56	Lake Erie sample	Lake Erie sample	paired with SC55, SC54	1.0	SC56	Field 1	41.9052944738586	-83.2244608785034	52.0				Archive 5.0um/0.2um	2018-08-23	Absent	2018-08-23	Yes	Stony Point	w_boundary	17:38:24.160000	00:47:53	3.937455288798313	8.126547906126294	Yes	738.0								2.23866054260158	8052.16099345104	390.411734165189	24.3053154925422			Late	1104611.3672510197	149676.3370258834	38888.29503517433	1053.883334286567	0.007041081811778437	boat sample: 3:34:00 PM, 8/23/2018	134717	136490.0	134810.0	22	21.9	88	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC56_50	SC56	Lake Erie sample	Lake Erie sample	paired with SC55, SC54	1.0	SC56	Field 1	41.9052944738586	-83.2244608785034	52.0				Archive 5.0um/0.2um	2018-08-23	Absent	2018-08-23	Yes	Stony Point	w_boundary	17:38:24.160000	00:47:53	3.937455288798313	8.126547906126294	Yes	738.0								2.23866054260158	8052.16099345104	390.411734165189	24.3053154925422			Late	1104611.3672510197	149676.3370258834	38888.29503517433	1053.883334286567	0.007041081811778437	boat sample: 3:34:00 PM, 8/23/2018	134716	136489.0	134809.0	50	29.2	73	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC54_22	SC54	Lake Erie sample	Lake Erie sample	paired with SC56, SC55	1.0	SC54	Field 3	41.9107870715159	-83.2103307908826	195.0				Archive 5.0um/0.2um	2018-08-23	Absent	2018-08-23	Yes	Stony Point	w_boundary	23:52:54.270000	00:45:15	4.031867157949044	8.318490538997711	Yes	689.0								3.68400831090079	8174.73794690964	-0.553731189437315	24.0683662528146			Night	846679.622790445	122885.28632662482	4578.74666470677	132.90991769830973	0.0010815771494810192	3G arrived at 2am.  Sample for Eliza about 12 earlier	134719		134812.0	22	25.5	87	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	136492.0
SC54_50	SC54	Lake Erie sample	Lake Erie sample	paired with SC56, SC55	1.0	SC54	Field 3	41.9107870715159	-83.2103307908826	195.0				Archive 5.0um/0.2um	2018-08-23	Absent	2018-08-23	Yes	Stony Point	w_boundary	23:52:54.270000	00:45:15	4.031867157949044	8.318490538997711	Yes	689.0								3.68400831090079	8174.73794690964	-0.553731189437315	24.0683662528146			Night	846679.622790445	122885.28632662482	4578.74666470677	132.90991769830973	0.0010815771494810192	3G arrived at 2am.  Sample for Eliza about 12 earlier	134718	136491.0	134811.0	50	31.6	52	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC53_22	SC53	Lake Erie sample	Lake Erie sample	paired with SC52, SC51	2.0	SC53	Field 4	41.912283641221	-83.200988007138	194.0		64.0		Archive 5.0um/0.2um	2018-08-24	Absent	2018-08-24	Yes	Stony Point	w_boundary	06:17:45.430000	00:16:38	3.0172893297375953	1.0957050605630898	No	265.0								1.67912697134347	7733.55751616379	-0.511412664939617	24.1363083017283			Early	272780.9113006811	102936.19294365327	610.5218258581069	46.07711893268732	0.0004476279685019019	boat sample: 4:20:00 PM, 8/23/2018; 41 50.934 / 83 11.592	134721	136494.0	134814.0	22	9.9	88	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC53_50	SC53	Lake Erie sample	Lake Erie sample	paired with SC52, SC51	2.0	SC53	Field 4	41.912283641221	-83.200988007138	194.0		64.0		Archive 5.0um/0.2um	2018-08-24	Absent	2018-08-24	Yes	Stony Point	w_boundary	06:17:45.430000	00:16:38	3.0172893297375953	1.0957050605630898	No	265.0								1.67912697134347	7733.55751616379	-0.511412664939617	24.1363083017283			Early	272780.9113006811	102936.19294365327	610.5218258581069	46.07711893268732	0.0004476279685019019	boat sample: 4:20:00 PM, 8/23/2018; 41 50.934 / 83 11.592	134720	136493.0	134813.0	50	7.9	73	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC51_22	SC51	Lake Erie sample	Lake Erie sample	paired with SC53, SC52	2.0	SC51	Field 6	41.9122723374042	-83.2017066531603	153.0		91.0		Archive 5.0um/0.2um	2018-08-24	Absent	2018-08-24	Yes	Stony Point	w_boundary	08:36:46.350000	00:17:06	3.093839452708295	1.1084622035753298	No	275.0								1.66522018379635	7717.62168553018	53.2577935699724	24.0789622706226			Core	470826.8211001173	171209.75312731537	3004.3600606942855	218.49891350503896	0.0012762059959432236	sample taken in between stations 4 and 12	134723	136496.0	134816.0	22	11.9	87	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC51_50	SC51	Lake Erie sample	Lake Erie sample	paired with SC53, SC52	2.0	SC51	Field 6	41.9122723374042	-83.2017066531603	153.0		91.0		Archive 5.0um/0.2um	2018-08-24	Absent	2018-08-24	Yes	Stony Point	w_boundary	08:36:46.350000	00:17:06	3.093839452708295	1.1084622035753298	No	275.0								1.66522018379635	7717.62168553018	53.2577935699724	24.0789622706226			Core	470826.8211001173	171209.75312731537	3004.3600606942855	218.49891350503896	0.0012762059959432236	sample taken in between stations 4 and 12	134722	136495.0	134815.0	50	17.9	52	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC21_22	SC21	Lake Erie sample	Lake Erie sample	paired with SC20, SC19, SC18	11.0	SC21	Field 34	41.8465759222166	-83.2430062324525	37.0		238.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WNW	open_water	00:52:00.190000	00:29:30	2.551830196837185	1.49694395942117	No	472.8								2.04273550163123	7744.77680906185	-0.556680407159585	24.3761039233405			Night	338744.7728081405	71616.23103766184	140.36160772443333	5.934951700821705	8.287160068086533e-05		134764	136541.0	134853.0	22	8.4	88	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC21_50	SC21	Lake Erie sample	Lake Erie sample	paired with SC20, SC19, SC18	11.0	SC21	Field 34	41.8465759222166	-83.2430062324525	37.0		238.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WNW	open_water	00:52:00.190000	00:29:30	2.551830196837185	1.49694395942117	No	472.8								2.04273550163123	7744.77680906185	-0.556680407159585	24.3761039233405			Night	338744.7728081405	71616.23103766184	140.36160772443333	5.934951700821705	8.287160068086533e-05		134763	136540.0	134852.0	50	11.8	72	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC19_22	SC19	Lake Erie sample	Lake Erie sample	paired with SC21, SC20, SC18	11.0	SC19	Field 36	41.8465987093805	-83.2430555475966	32.0		224.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WNW	open_water	03:35:31.240000	00:25:51	2.485460957994115	1.2647244644035103	No	413.4								2.07550025987792	7654.01967141008	-0.552763914804614	24.2783371804058			Night	478215.40926222235	115790.65599569549	780.3258119077086	37.78817491078492	0.0003263490873753206		134766	136543.0	134855.0	22	11.4	87	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC19_50	SC19	Lake Erie sample	Lake Erie sample	paired with SC21, SC20, SC18	11.0	SC19	Field 36	41.8465987093805	-83.2430555475966	32.0		224.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WNW	open_water	03:35:31.240000	00:25:51	2.485460957994115	1.2647244644035103	No	413.4								2.07550025987792	7654.01967141008	-0.552763914804614	24.2783371804058			Night	478215.40926222235	115790.65599569549	780.3258119077086	37.78817491078492	0.0003263490873753206		134765	136542.0	134854.0	50	18.3	72	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC18_22	SC18	Lake Erie sample	Lake Erie sample	paired with SC21, SC20, SC19	11.0	SC18	Field 37	41.8465939679714	-83.243045286413	59.0		231.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WNW	open_water	05:44:35.110000	00:04:00	2.55227822434609	1.11902197948924	No	66.5								5.9167325295026	7583.97104807991	-0.539347786067137	24.7406253814697			Early	38101.59293036456	56868.04914979786	137.77497145261947	41.12685715003566	0.0007231979602764666		134768	136545.0	134857.0	22	1.8	88	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
SC18_50	SC18	Lake Erie sample	Lake Erie sample	paired with SC21, SC20, SC19	11.0	SC18	Field 37	41.8465939679714	-83.243045286413	59.0		231.0		Archive 5.0um/0.2um	2018-08-31	Low	2018-08-31	Yes	WE4-WNW	open_water	05:44:35.110000	00:04:00	2.55227822434609	1.11902197948924	No	66.5								5.9167325295026	7583.97104807991	-0.539347786067137	24.7406253814697			Early	38101.59293036456	56868.04914979786	137.77497145261947	41.12685715003566	0.0007231979602764666		134767	136544.0	134856.0	50	4.3	73	Create and run amplicons with NEXTFLEX 16S V4 Amplicon-Seq 2.0 AND NEXTFLEX 18S ITS Amplicon-Seq for this sample. 16S/18S amplicons will have different barcodes, but be run on single MiSeq run. Save enough sample for Genomic Library Prep and NovaSeq Run.	
