Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Control10_20190721_MiFish_S52.1	69.65579710144928	22.82608695652179
Control12_20190731_MiFish_S53.1	63.41463414634146	36.58536585365852
Control9_20190715_MiFish_S51.1	78.3435926133184	13.626189143816433
ExtNeg_20190910_MiFish_S55.1	26.96629213483146	73.0337078651683
ExtNeg_20190918_MiFish_S56.1	11.979166666666668	88.02083333333304
ExtNeg_20191028_MiFish_S57.1	28.000000000000004	72.0
ExtNeg_20191031_MiFish_S58.1	32.0	68.0
GU190706-CTD11-220_MiFish_S30.1	80.27631327341766	13.018684950965664
GU190707-CTD13-310_MiFish_S31.1	69.30339853382083	21.57974706006307
GU190707-CTD14-315_MiFish_S32.1	18.00112331502746	72.14230737227493
GU190708-CTD16-252_MiFish_S33.1	30.62150837988827	58.82002911322682
GU190708-CTD17-171_MiFish_S34.1	46.880253253767904	44.173257002894175
GU190709-CTD20-280_MiFish_S35.1	65.95937332459641	25.516967494688345
GU190710-CTD22-245_MiFish_S36.1	59.612207047715394	32.365958523014676
GU190710-CTD23-190_MiFish_S37.1	46.51482440490653	45.78592601334231
GU190714-CTD25-185_MiFish_S38.1	33.96016835470889	57.77469427153941
GU190714-CTD26-260_MiFish_S39.1	28.335027726432532	60.667282809611834
GU190715-CTD28-310_MiFish_S40.1	30.33588097884018	58.780305263874055
GU190721-CTD31-205_MiFish_S41.1	67.30183778348788	25.162691319405653
GU190722-CTD33-205_MiFish_S42.1	71.94192745437037	21.651621041724155
GU190724-CTD36-310_MiFish_S43.1	36.190200180954534	54.20012440624292
GU190727-CTD40-210_MiFish_S44.1	75.17857058554156	18.084137078004545
GU190727-CTD41B-145_MiFish_S45.1	84.75421872019146	9.830673087484598
GU190728-CTD43-245_MiFish_S46.1	48.84345219453268	41.854204882704714
GU190728-CTD44B-125_MiFish_S47.1	61.24949463186739	31.39402991779346
GU190729-CTD46-240_MiFish_S48.1	63.47911445590499	27.898208535669383
GU190729-CTD47-140_MiFish_S49.1	17.418702655866404	73.06783421512122
GU190731-CTD50-150_MiFish_S50.1	73.30603414973345	20.237635346188227
PCRNeg_MiFish_S54.1	35.62753036437247	64.37246963562805
