Sample	Unique Reads	Duplicate Reads
Control10_20190721_MiFish_S52.1	112.0	992.0
Control12_20190731_MiFish_S53.1	24.0	58.0
Control9_20190715_MiFish_S51.1	269.0	3305.0
ExtNeg_20190910_MiFish_S55.1	79.0	99.0
ExtNeg_20190918_MiFish_S56.1	78.0	114.0
ExtNeg_20191028_MiFish_S57.1	36.0	14.0
ExtNeg_20191031_MiFish_S58.1	16.0	9.0
GU190706-CTD11-220_MiFish_S30.1	5969.0	286887.0
GU190707-CTD13-310_MiFish_S31.1	9941.0	260558.0
GU190707-CTD14-315_MiFish_S32.1	10960.0	373616.0
GU190708-CTD16-252_MiFish_S33.1	7712.0	195632.0
GU190708-CTD17-171_MiFish_S34.1	6016.0	167091.0
GU190709-CTD20-280_MiFish_S35.1	8359.0	243446.0
GU190710-CTD22-245_MiFish_S36.1	6298.0	230942.0
GU190710-CTD23-190_MiFish_S37.1	3655.0	140398.0
GU190714-CTD25-185_MiFish_S38.1	7637.0	274149.0
GU190714-CTD26-260_MiFish_S39.1	8936.0	207464.0
GU190715-CTD28-310_MiFish_S40.1	9317.0	211148.0
GU190721-CTD31-205_MiFish_S41.1	3916.0	139300.0
GU190722-CTD33-205_MiFish_S42.1	4157.0	173414.0
GU190724-CTD36-310_MiFish_S43.1	5283.0	136189.0
GU190727-CTD40-210_MiFish_S44.1	4203.0	207618.0
GU190727-CTD41B-145_MiFish_S45.1	2953.0	170026.0
GU190728-CTD43-245_MiFish_S46.1	5169.0	128937.0
GU190728-CTD44B-125_MiFish_S47.1	4568.0	173520.0
GU190729-CTD46-240_MiFish_S48.1	4664.0	129807.0
GU190729-CTD47-140_MiFish_S49.1	4907.0	147435.0
GU190731-CTD50-150_MiFish_S50.1	4076.0	177126.0
PCRNeg_MiFish_S54.1	108.0	139.0
