Module	Section	Sample Name	Source
FastQC	all_sections	GU190714-CTD25-185_MiFish_S38.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190714-CTD25-185_MiFish_S38.1_fastqc.zip
FastQC	all_sections	GU190728-CTD44B-125_MiFish_S47.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190728-CTD44B-125_MiFish_S47.1_fastqc.zip
FastQC	all_sections	ExtNeg_20191031_MiFish_S58.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/ExtNeg_20191031_MiFish_S58.1_fastqc.zip
FastQC	all_sections	Control9_20190715_MiFish_S51.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/Control9_20190715_MiFish_S51.1_fastqc.zip
FastQC	all_sections	ExtNeg_20191028_MiFish_S57.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/ExtNeg_20191028_MiFish_S57.1_fastqc.zip
FastQC	all_sections	GU190708-CTD16-252_MiFish_S33.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190708-CTD16-252_MiFish_S33.1_fastqc.zip
FastQC	all_sections	ExtNeg_20190918_MiFish_S56.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/ExtNeg_20190918_MiFish_S56.1_fastqc.zip
FastQC	all_sections	GU190707-CTD14-315_MiFish_S32.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190707-CTD14-315_MiFish_S32.1_fastqc.zip
FastQC	all_sections	GU190724-CTD36-310_MiFish_S43.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190724-CTD36-310_MiFish_S43.1_fastqc.zip
FastQC	all_sections	GU190709-CTD20-280_MiFish_S35.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190709-CTD20-280_MiFish_S35.1_fastqc.zip
FastQC	all_sections	GU190731-CTD50-150_MiFish_S50.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190731-CTD50-150_MiFish_S50.1_fastqc.zip
FastQC	all_sections	GU190714-CTD26-260_MiFish_S39.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190714-CTD26-260_MiFish_S39.1_fastqc.zip
FastQC	all_sections	GU190728-CTD43-245_MiFish_S46.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190728-CTD43-245_MiFish_S46.1_fastqc.zip
FastQC	all_sections	GU190729-CTD46-240_MiFish_S48.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190729-CTD46-240_MiFish_S48.1_fastqc.zip
FastQC	all_sections	GU190710-CTD23-190_MiFish_S37.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190710-CTD23-190_MiFish_S37.1_fastqc.zip
FastQC	all_sections	Control12_20190731_MiFish_S53.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/Control12_20190731_MiFish_S53.1_fastqc.zip
FastQC	all_sections	GU190708-CTD17-171_MiFish_S34.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190708-CTD17-171_MiFish_S34.1_fastqc.zip
FastQC	all_sections	GU190710-CTD22-245_MiFish_S36.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190710-CTD22-245_MiFish_S36.1_fastqc.zip
FastQC	all_sections	GU190706-CTD11-220_MiFish_S30.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190706-CTD11-220_MiFish_S30.1_fastqc.zip
FastQC	all_sections	ExtNeg_20190910_MiFish_S55.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/ExtNeg_20190910_MiFish_S55.1_fastqc.zip
FastQC	all_sections	GU190729-CTD47-140_MiFish_S49.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190729-CTD47-140_MiFish_S49.1_fastqc.zip
FastQC	all_sections	GU190721-CTD31-205_MiFish_S41.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190721-CTD31-205_MiFish_S41.1_fastqc.zip
FastQC	all_sections	Control10_20190721_MiFish_S52.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/Control10_20190721_MiFish_S52.1_fastqc.zip
FastQC	all_sections	GU190727-CTD41B-145_MiFish_S45.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190727-CTD41B-145_MiFish_S45.1_fastqc.zip
FastQC	all_sections	GU190722-CTD33-205_MiFish_S42.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190722-CTD33-205_MiFish_S42.1_fastqc.zip
FastQC	all_sections	GU190715-CTD28-310_MiFish_S40.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190715-CTD28-310_MiFish_S40.1_fastqc.zip
FastQC	all_sections	PCRNeg_MiFish_S54.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/PCRNeg_MiFish_S54.1_fastqc.zip
FastQC	all_sections	GU190707-CTD13-310_MiFish_S31.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190707-CTD13-310_MiFish_S31.1_fastqc.zip
FastQC	all_sections	GU190727-CTD40-210_MiFish_S44.1	/Users/katherine.silliman/Projects/NOAA/tourmaline-dev/v2-tourmaline/tourmaline/test_mifish_pe_man-samples/trimmed/fastqc_R1/GU190727-CTD40-210_MiFish_S44.1_fastqc.zip
