Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
Control10_20190721_MiFish_S52.2										13.31521739130435	0.0	0.0	69.92753623188406	0.0	0.0	0.0
Control12_20190731_MiFish_S53.2										42.68292682926829	0.0	0.0	0.0	0.0	0.0	0.0
Control9_20190715_MiFish_S51.2										3.9731393396754333	0.0	0.0	0.0	86.96138780078344	0.0	0.0
ExtNeg_20190910_MiFish_S55.2										15.730337078651685	0.0	0.0	0.0	0.0	0.0	0.0
ExtNeg_20190918_MiFish_S56.2										0.0	0.0	0.0	0.0	0.0	0.0	0.0
ExtNeg_20191028_MiFish_S57.2										24.0	0.0	0.0	0.0	0.0	0.0	0.0
ExtNeg_20191031_MiFish_S58.2										0.0	0.0	0.0	0.0	0.0	0.0	0.0
GU190706-CTD11-220_MiFish_S30.2										1.0721993061436337	0.6542464555959243	1.1944436856338951	0.4015625426830933	4.503578550550441	7.239735569699785	82.39715081814953
GU190707-CTD13-310_MiFish_S31.2										2.5589743400160443	1.1497269860517043	2.7427088455040503	1.1075826528009345	0.382626183460937	3.6473332618604872	77.1115604863604
GU190707-CTD14-315_MiFish_S32.2										2.8075074887668494	1.41818522216675	1.7830025794641373	0.37703860875353634	4.292259527375603	7.569635130637377	76.09445207189216
GU190708-CTD16-252_MiFish_S33.2										2.6098630891494214	0.7047171295932017	1.1015815563773703	1.016012274765914	13.760917460067667	14.680049571170036	59.7888307498623
GU190708-CTD17-171_MiFish_S34.2										1.731299138683011	0.5788327450651909	0.7711993160299699	0.45174371920257417	0.0	4.058183666749468	88.02243698983865
GU190709-CTD20-280_MiFish_S35.2										1.8081451917158118	0.8141220388792916	2.0785925617044936	1.4566827505410933	9.365183376025099	0.0	80.30857210937035
GU190710-CTD22-245_MiFish_S36.2										1.6687742370595178	0.8986680155117182	1.761507334344967	3.2182599898836624	11.24135896138931	3.0214129151913673	74.22525712358792
GU190710-CTD23-190_MiFish_S37.2										2.424107793659278	0.9906076235829867	1.4258640916884757	0.36653176261514864	9.486786113444358	0.0	79.33607769362665
GU190714-CTD25-185_MiFish_S38.2										1.94757723946541	1.069606013073751	1.1459050485119913	0.8062856210031727	9.53595991284166	9.282221260105187	72.2168596026772
GU190714-CTD26-260_MiFish_S39.2										4.870609981515712	2.175138632162662	3.870609981515712	0.9283733826247689	18.24214417744917	16.895563770794826	36.368761552680226
GU190715-CTD28-310_MiFish_S40.2										2.7750436577234483	0.8169097135599755	1.3603066246342956	0.0	10.9554804617513	33.77951148708412	43.45451658993491
GU190721-CTD31-205_MiFish_S41.2										1.7581834431907049	0.8728075075410568	1.1171936096525528	0.0	6.156435035191599	17.78781700368674	68.99787733214166
GU190722-CTD33-205_MiFish_S42.2										1.330735311509199	0.7979906628897736	0.6543861328707954	0.5434445939933885	17.231417292238035	0.0	76.49334632344245
GU190724-CTD36-310_MiFish_S43.2										2.6068762723365757	0.5124688984392671	1.2688023071703236	1.263147477946166	17.971047274372314	21.14694073738973	49.13975910427505
GU190727-CTD40-210_MiFish_S44.2										1.3081800199224816	0.7190033093980295	1.5012675797017292	0.3739006047559024	18.546319769994476	0.0	74.41094131365634
GU190727-CTD41B-145_MiFish_S45.2										1.3024702420525034	0.833627203302135	1.9632440932136273	0.9567635377704808	7.488770313159401	0.0	85.30168401944745
GU190728-CTD43-245_MiFish_S46.2										2.0319747065753955	0.6987010275453746	1.4257378491640942	2.365293126332901	13.55942314288697	7.203257124960852	67.81202929026293
GU190728-CTD44B-125_MiFish_S47.2										2.1118772741565968	1.1264094155698308	2.1534297650599705	1.1825614303041192	7.030232244732941	3.282646781366515	77.76436368536903
GU190729-CTD46-240_MiFish_S48.2										2.323921142848644	0.635824824683389	2.2101419636947743	0.8306623732998193	15.662113020651292	15.341597816629607	57.37519613894445
GU190729-CTD47-140_MiFish_S49.2										2.0289874099066574	0.6636383925640992	1.4132675165089075	0.3662811306140132	4.23323837155873	28.139318113192687	57.82778222683174
GU190731-CTD50-150_MiFish_S50.2										1.4006467919780135	0.8057306210748226	1.1495458107526406	0.29083564199070655	13.65768589750665	6.846502797982362	72.9522852948643
PCRNeg_MiFish_S54.2										17.813765182186234	0.0	0.0	0.0	0.0	0.0	0.0
