Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Control10_20190721_MiFish_S52.2	Control10_20190721_MiFish_S52.2.fastq	Conventional base calls	Sanger / Illumina 1.9	1104.0	242.6 kbp	0.0	165-224	53.0	13.043478260869565	218.8695652173913	222	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Control12_20190731_MiFish_S53.2	Control12_20190731_MiFish_S53.2.fastq	Conventional base calls	Sanger / Illumina 1.9	82.0	15.5 kbp	0.0	166-224	47.0	57.3170731707317	189.1219512195122	168	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
Control9_20190715_MiFish_S51.2	Control9_20190715_MiFish_S51.2.fastq	Conventional base calls	Sanger / Illumina 1.9	3574.0	797.4 kbp	0.0	54-224	54.0	6.911024062674874	221.19278119753778	222	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ExtNeg_20190910_MiFish_S55.2	ExtNeg_20190910_MiFish_S55.2.fastq	Conventional base calls	Sanger / Illumina 1.9	178.0	36.4 kbp	0.0	168-224	48.0	82.02247191011236	204.1011235955056	222	pass	fail	fail	fail	fail	fail	pass	warn	pass	fail	pass
ExtNeg_20190918_MiFish_S56.2	ExtNeg_20190918_MiFish_S56.2.fastq	Conventional base calls	Sanger / Illumina 1.9	192.0	38.4 kbp	0.0	165-224	47.0	80.72916666666666	199.34375	222	pass	fail	fail	warn	fail	fail	pass	warn	pass	fail	pass
ExtNeg_20191028_MiFish_S57.2	ExtNeg_20191028_MiFish_S57.2.fastq	Conventional base calls	Sanger / Illumina 1.9	50.0	9.3 kbp	0.0	55-224	48.0	70.0	186.1	172	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
ExtNeg_20191031_MiFish_S58.2	ExtNeg_20191031_MiFish_S58.2.fastq	Conventional base calls	Sanger / Illumina 1.9	25.0	4.6 kbp	0.0	169-224	47.0	64.0	184.24	168	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
GU190706-CTD11-220_MiFish_S30.2	GU190706-CTD11-220_MiFish_S30.2.fastq	Conventional base calls	Sanger / Illumina 1.9	292856.0	49.8 Mbp	0.0	165-225	45.0	2.0067883191739284	169.35626382932227	168	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
GU190707-CTD13-310_MiFish_S31.2	GU190707-CTD13-310_MiFish_S31.2.fastq	Conventional base calls	Sanger / Illumina 1.9	270499.0	51.3 Mbp	0.0	105-237	53.0	9.546061168433155	189.60717784538946	177	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	fail
GU190707-CTD14-315_MiFish_S32.2	GU190707-CTD14-315_MiFish_S32.2.fastq	Conventional base calls	Sanger / Illumina 1.9	384576.0	65.9 Mbp	0.0	161-225	48.0	4.187728823431519	170.9392785821268	168	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
